id_espacio,nombre_espacio,ciudad,direccion,aforo,nota,telefono_contacto,nombre_contacto,email_contacto
ESP0017,Parque Tecnológico de Euskadi - Campus Vitoria-Gasteiz,Vitoria-Gasteiz,"Hermanos Lumiere, 11",1070,Parking 350; restaurante; cafetería; wifi; accesibilidad completa,945010055,Txus Zabaleta,pta@tisasa.es
ESP0019,Bodegas Baigorri,Samaniego,"Ctra. Vitoria-Logroño, km 53",630,Parking; restaurante; wifi; accesibilidad física,945609420,Sara Courel,sara.courel@bodegasbaigorri.com
ESP0020,Bodegas Casa Primicia,Laguardia,"Camino de la Hoya, 1",350,Restaurante; cafetería; wifi; distancia zona centro,945600296,Fabiola,info@casaprimicia.com
ESP0021,Arrantzaleen Museoa,Bermeo,Torre de Ercilla,200,,946881171,,arrantzaleenmuseoa@bizkaia.eus
ESP0022,Auditorio Itsas Etxea,Hondarribia,"Calle Matxin Arzu, 1",560,"Maquinaria escénica; iluminación técnica; proyección digital de cine; sonido para conciertos, teatro y conferencias; sala de traducción simultánea; sala de exposiciones utilizable como sala de reuniones.",,,
ESP0023,Faro de Santa Catalina,Lekeitio,"Avenida Santa Katalina, 65",15,"Mesa grande; pantalla TV; reproductor; recursos humanos y técnicos; servicio de restauración del faro con pintxos, dulces y cafés.",649256877,Marijo Esteo,turismo@lekeitio.eus
ESP0024,Bauskain,Markina-Xemein,"Barrio Arretxinaga, 34",435,Restaurante; parking 60; accesibilidad física; gastronomía local.,665762766,Amanda,bauskain@deluz.es
ESP0027,Interpretation Centre La Antigua,Zumarraga,"Diseminados Barreiatua, 49",56,Parking 40; restaurante; cafetería; wifi; accesibilidad física.,943729154,Izaskun Larrañaga,ilarranaga@zumarraga.eus
ESP0028,Jardín de Barretaguren,Güeñes,"Barretaguren, 1",450,Jardín de 3.400 m²; porche cubierto exterior; carpa para 300 personas; 2 salones interiores; uso exclusivo; privacidad; outdoor training; showcookings; talleres.,635710635,Xabier Uribarri Blanco,xabier@jardindebarretaguren.com
ESP0029,Museo Euskal Herria,Gernika-Lumo,"Calle Allende Salazar, 5",165,,946255451,,euskalherriamuseoa@bizkaia.eus
ESP0046,Palacio Horkasitas,Artzentales,"Horkasitas Auzoa, 69",920,,686372210,Aida Rodriguez,info@palaciohorkasitas.com
ESP0047,Parque Tecnológico de Euskadi - Campus Leioa,Leioa,"Barrio Sarriena, s/n",134,,946855677,Olatz Zalbidea,sedeleioa@parke.eus
ESP0051,Cámara de Comercio de Bilbao,Bilbao,"Alameda de Recalde, 50",134,,944706500,Lucía Guerra,lucia.guerra@camarabilbao.com
ESP0052,Frontón Bizkaia,Bilbao,"Kalea Castresana Luis, 2",4500,,617205320,Iranzu Arginzoniz,global@jaialai.eus
ESP0053,Museo de Arte Sacro,Bilbao,"Plaza Encarnación, 9B",770,,944320125,Idoia Perez,museo@eleizmuseoa.com
ESP0055,Museo Guggenheim Bilbao,Bilbao,"Avenida Abandoibarra, 2",1580,,944359017,Cristina Galdeano,eventos@guggenheim-bilbao.eus
ESP0057,Museo Reproducciones Bilbao,Bilbao,"San Francisco, 14",209,,944150231,Itziar Martija,itziar.martija@bbmuseoak.eus
ESP0058,Museo Vasco,Bilbao,"Plaza Miguel Unamuno, 4",200,,944155423,Asier,prentsa@bbmuseoak.eus
ESP0060,Teatro Arriaga,Bilbao,"Plaza Arriaga, 1",1650,,944792056,Izaskun Ardanaz,iardanaz@teatroarriaga.eus
ESP0061,Teatro Campos Elíseos,Bilbao,"Calle de Bertendona, 3",1670,,944438602,Susana Morales,smoraleso@klemark.com
ESP0062,Torre Iberdrola,Bilbao,"Plaza Euskadi, 5",735,,944354349,,eventos@torreiberdrola.com
ESP0064,Yimby,Bilbao,Ercilla 24,600,,660478918,Carlos Usandizaga,carlos@yimbybilbao.com
ESP0065,ZAWP,Bilbao,"Ribera de Deusto, 47",800,,646241961,Cristina Pascual,ficc@laterminal.eus
ESP0030,Bodegas Eguren Ugarte,Laguardia,"A-124, Km 61",826,,945600766,,reservas@egurenugarte.com
ESP0031,Bodegas Izadi,Villabuena,"Herrería Travesía II, 5",65,,945609086,Esther Crespo,club@grupoartevino.com
ESP0033,Bodegas Valdemar,Oyón,"Calle Camino Viejo Bidezar, 24",1620,,663334535,Marisa Alonso,enoturismo@valdemar.es
ESP0034,Centro de Convenciones Villa-Lucía,Laguardia,Carretera de Logroño s/n,2082,,945600032,Rakel Blanco,comercial@villa-lucia.com
ESP0035,Bodega Berroja,Muxika,"Ajurias, Carretera de Zugastieta a Balcón de Bizkaia, Barrio Berroja",430,,944106254,José Angel Carrero Arketa,txakoli@bodegaberroja.com
